Sample_index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Not Used,Digital Channel 0 (D11),Digital Channel 1 (D12),Digital Channel 2 (D13),Digital Channel 3 (D17),Not Used,Digital Channel 4 (D18),Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Marker Channel
210.000000,-16397.150325,-10405.899335,-374.324664,-22047.179585,5048.230892,4781.865154,-6507.196308,879.116461,4934.438161,-10041.610604,-6059.021480,3049.806124,650.055784,1507.088722,-25805.066622,-11586.026738,0.002000,-0.010000,1.002000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770887247.764398,101.000000
212.000000,-16530.701999,-10543.451970,-484.183488,-22177.490256,4937.790923,4719.570842,-6618.999734,771.425756,4887.186573,-10168.792029,-6165.549894,2948.664480,550.255245,1403.242517,-25936.696045,-11692.778670,0.002000,-0.010000,1.002000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770887247.764468,0.000000
214.000000,-16367.064877,-10380.641863,-351.458830,-22024.738434,5078.539858,4804.865099,-6488.890229,896.304953,4919.261327,-10122.836843,-6123.707428,2983.712016,594.802272,1441.307538,-25890.584396,-11658.938129,0.002000,-0.010000,1.002000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770887247.764522,0.000000
216.000000,-16485.864399,-10501.184821,-450.030023,-22139.112310,5001.381636,4745.789438,-6588.556658,806.450940,4937.634461,-10060.587235,-6061.703689,3029.778961,643.126743,1504.182995,-25817.047157,-11599.504840,0.006000,-0.012000,1.008000,192.000000,0.000000,24.000000,127.500000,80.000000,15.500000,64.000000,0.000000,0.000000,0.000000,1770887247.764575,0.000000
218.000000,-16459.511692,-10473.491010,-427.208892,-22107.618702,5016.178491,4759.088726,-6560.684033,825.695792,4891.478108,-10200.643265,-6191.164993,2919.406047,534.407858,1380.197868,-25965.507444,-11728.966144,0.006000,-0.012000,1.008000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770887247.764626,0.000000
220.000000,-16397.977340,-10409.877945,-372.983560,-22049.973553,5064.659424,4781.753395,-6509.878517,878.177688,4940.070801,-10041.789417,-6053.500599,3043.614691,664.763232,1495.689332,-25797.198808,-11594.989788,0.006000,-0.012000,1.008000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770887247.764676,0.000000
222.000000,-16539.083903,-10548.659926,-490.598439,-22189.180218,4958.019252,4719.235566,-6621.950164,761.255713,4890.226411,-10167.629739,-6164.812286,2942.920082,559.844143,1411.065627,-25924.804917,-11703.731025,0.006000,-0.012000,1.008000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770887247.764696,0.000000
224.000000,-16388.544904,-10397.942114,-364.244028,-22034.349684,5065.307625,4781.686340,-6492.064177,883.564458,4898.250687,-10136.024372,-6144.472199,2964.176591,582.911144,1416.117122,-25888.058649,-11676.685414,0.006000,-0.012000,1.008000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770887247.764716,0.000000
226.000000,-16504.438699,-10510.751368,-459.685976,-22144.677895,4957.348699,4725.941089,-6589.584838,799.410140,4907.928992,-10068.544456,-6078.534553,3024.369839,624.887720,1496.918678,-25830.614666,-11621.923640,0.008000,-0.016000,1.010000,192.000000,0.000000,32.000000,127.500000,64.000000,15.500000,72.000000,0.000000,0.000000,0.000000,1770887247.764736,0.000000
228.000000,-16460.741038,-10468.640681,-430.963985,-22111.798479,4981.354473,4746.415287,-6557.107753,829.227368,4865.170105,-10208.041693,-6202.340865,2915.025105,504.344762,1376.956865,-25980.080781,-11748.456865,0.008000,-0.016000,1.010000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770887247.764756,0.000000
230.000000,-16388.723718,-10397.763300,-374.525830,-22046.263164,5034.752790,4775.606665,-6505.229355,888.012455,4934.348754,-10039.733057,-6049.477285,3046.721583,645.428973,1502.819538,-25815.437831,-11606.098605,0.008000,-0.016000,1.010000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770887247.764776,0.000000
232.000000,-16530.679647,-10541.954403,-489.413797,-22175.791523,4925.899795,4718.788531,-6617.792740,778.757129,4886.896001,-10161.147733,-6154.351670,2953.514809,551.104611,1402.080226,-25943.334513,-11699.193621,0.008000,-0.016000,1.010000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770887247.764794,0.000000
